,Name,Style
136,The war is right outside your door  #USAToday,anger
137,"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol",anger
138,@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC,anger
139,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl,anger
140,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl,anger
141,"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling",anger
142,"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? ",anger
143,@louiseannexx u fucked my house up I'll always hold a grudge,anger
144,@josefcd904 @Reddou_Kun @deven_luca @supersoniclemon He also likes incurring Lily's wrath.,anger
145,@ReadingFC @EFLCup - remind them 'Twenty's Plenty' #revenge!,anger
146,@ReadingFC @EFLCup - remind them 'Twenty's Plenty' !,anger
147,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite #inflame,anger
148,@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite ,anger
149,"@FakingALeto Gerard finally made it up the stairs with a little huff, his face a little more red than it was before. Having little legs --",anger
150,After what just happened. In need to smoke. #burning,anger
151,After what just happened. In need to smoke. ,anger
152,I really wish my road rage wasn't so damn bad lmaooooo,anger
153,"@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs",anger
154,"@NahteWilly @AFP that was neither intelligent, definitive or useful shall I name call or would you like to expand on how I have offend you ?",anger
155,when you think you've got it together for a day then you randomly burst out crying,anger
156,"You offend me, @Tansorma",anger
157,@jamielamieee @gerbicapiral_ @Dory then I look at you and we burst out laughing,anger
158,"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz #sting #HONEY",anger
159,"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz  #HONEY",anger
160,@smendler (2)  Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything,anger
161,I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge,anger
162,@SopanDeb @johnrobertsFox @azizansari Let's not stereotype all South Asians as relentless beat reporters.,anger
163,@Alex_Philip2648 it's a step up from boiling broccoli tbh,anger
164,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus ,anger
165,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter,anger
166,"@EE whats with the 50p a minute charge to 150, insult to injury",anger
167,"Last night, the Rev. Dr. Earl Johnson spoke to Wake Progressive #Democrats on transforming #moral #outrage into effective political #action.",anger
168,Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution.,anger
169,I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming,anger
170,I HATE little girls 😡😡 got a lot off growing up to do!!! ,anger
171,"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",anger
172,Police: Atlanta rapper Shawty Lo killed in fiery car crash,anger
173,@JamieRJN She's all over the political map in her relentless pursuit of power.,anger
174,No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE,anger
175,I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,anger
176,"And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,",anger
177,Weak people revenge. Strong people forgive. Intelligent people ignore.,anger
178,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered,anger
179,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered,anger
180,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene  #fuck #die #hatered,anger
181,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene #anger #fuck #die #hatered,anger
182,Using multiple combs simultaneously is what I like to call impressive work!!    ;-O  #ohsnap #daaamn,anger
183,Using multiple combs simultaneously is what I like to call impressive work!!    ;-O #snap #ohsnap #daaamn,anger
184,Nothing is more relentless than a dog begging for food,anger
185,ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....,anger
186,@Deadspin @Rlblack1Rob My guess is he's just a convenient target for misplaced anger.  What they're really mad at is how they played.,anger
187,People that smoke cigarettes irritate my soul.,anger
188,Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' 😂 ,anger
189,Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' 😂 #raging,anger
190,Threat factors in respect to provocation bulb worm: BnQo,anger
191,#Scorpio always seek revenge!,anger
192,"— Self-hatred gives rise to fury, fury to the desire for self-change.",anger
193,You sting like a bee but you're still my honey.,anger
194,"if u have time 2 open a snap, u have time 2 respond",anger
195,"This may offend some, but I say u never trust a cop 🚓 of any color, but especially not a white 1(the evidence is clear)! The klan has awoke",anger
196,"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. #fuming",anger
197,"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. ",anger
198,"#Forgiveness might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge.",anger
199,"#Forgiveness might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and .",anger
200,@WinchesterGank If only. Lol I just wish once he understood the crazy of his rabid fans &amp; addressed it.,anger
201,The way @AvailableCar wash their hands of their mistakes is disgraceful. Left driving round on a tyre that can burst at any moment,anger
202,"People will talk, words will sting, but how you handle that is what differs you from them. Be like them or change the culture?#BeDifferent",anger
203,"Be quick to #listen, slow to #speak, and slow to #anger.",anger
204,"Be quick to #listen, slow to #speak, and slow to .",anger
205,"@Yannarell @LOLGOP Despite your #outrage fatigue, don't lose your shine",anger
206,Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,anger
207,troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.,anger
208,We floated like butterflies. Now you sting like bees!',anger
209,"I don't like pineapple I only eat them on pizza, they lose the sting when they get cooked.",anger
210,Ok but how are the fast &amp; furious movies NOT classified as comedy's? 🤔,anger
211,@Shonna_Ludi @_braaaat_ 😂😂😭😭😭 resentment,anger
212,no offense but the doctor crying tears of joy after realizing he has a family for christmas is Cute,anger
213,@JankHambrams You sound like my husband @Enistachia ... he makes hotter and hotter sauce - the fiery torment brings him mouth-joy! 🔥,anger
214,"warning: i am a sensitive, angry, insecure baby today, but UGH why do people at large either hate or ignore me bc it is literally~the worst~",anger
215,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #unfair #ugh,anger
216,A black female LEO💙 was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive,anger
217,@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?,anger
218,Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr #ChicagoPD,anger
219,Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower  #rawr #ChicagoPD,anger
220,I'm deleting all these social media apps off my phone. I might keep snap chat and insta but I'll never be on it.,anger
221,Panpiper playing Big River outside The Bridges in SR1 #outrage,anger
222,Panpiper playing Big River outside The Bridges in SR1 ,anger
223,I base when it's going to rain here off of brills snap stories.,anger
224,@ColinOccupantz @JasnaBadzak @proremain and there was I thinking #UKIP were a party of angry old men - how wrong can you be!,anger
225,"@mattstottwrites For me not so much outrage as ‘oh, using female body to sell something, AGAIN’",anger
226,Congrats to #Nicole #bb18 ... Fix that nose now 😒💁🏻 #bitter #petty,anger
227,Congrats to #Nicole #bb18 ... Fix that nose now 😒💁🏻  #petty,anger
228,"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of £20 - I was fuming @EmmaGould_ I miss you",anger
229,@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein,anger
230,No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.,anger
231,This is a joke @SomersetCCC #fuming,anger
232,This is a joke @SomersetCCC ,anger
233,"@UMA1R_ @bilalmahmooduk @Muslim_Scientst i do not offend your Faith unless 1 persecutes me, treat me like a dog, disrespect me and even so",anger
234,The patriots have the lamest color rush jerseys in the whole nfl #madden (I hope they wear them tonight),anger
235,no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks,anger
236,"Forgiveness might make us look weak, but the weakest person is the one who holds anger, hatred, and revenge.",anger
237,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!! #fume #instagram,anger
238,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!!  #instagram,anger
239,Trump supports reach another level of irritation within me,anger
240,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,anger
241,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop,anger
242,RE: #politicallycorrect #BS   What if I am #offended by your assumption the USA should change because you are a 'visitor' &amp; don't like it?,anger
243,@NJDDanin123 I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils,anger
244,@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox 😅 I get raging migraines without coffee :/,anger
245,@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger
246,@inthefade going back to blissful ignorance?! #fury,anger
247,@inthefade going back to blissful ignorance?! ,anger
248,@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!,anger
249,ethan was with someone in the car when he did his revenge on grayson,anger
250,@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger
251,@zavierdaniels had to snap going crazy 😭😭,anger
252,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ,anger
253,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. #rage,anger
254,If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework,anger
255,@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage,anger
256,@SINice Damn..  Lol..  Maybe it is for the best though..  Her brother might still be lookin for revenge 😂,anger
257,@Red_Magpie @ali_faceache1 @joanna_caron @KCBFD @xMATTxLAWx he's not exactly a rabid tub thumper compared to McTernan now is he.,anger
258,Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!,anger
259,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics ,anger
260,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics #relentless,anger
261,White people irritate me.,anger
262,"Y'all bitches be so angry and bitter, that must truly suck lol",anger
263,@daynutrition @sliqnicq @nytimes I don't listen to White Trash talk about blacks. It's insult. Talk about your race living in trailers,anger
264,We're going to get City in the next round for a revenge.,anger
265,Me: *sees incense burner* is this for drugs?,anger
266,"@daemondave @paulkrugman Hey stupid, that was bad intel to take Bin Laden out. Try again with your faux outrage. I bet u admire Putin right?",anger
267,@RobertB_Rice Awesome. Another non-native being offended on my behalf. We need more of you in the world. #SaidNoNDNEver. #Paternalism,anger
268,@JohnJHarwood @GWGMJ30 It's no secret: personal dislike of Trump &amp; animosity has always been present..now magnified with bigotry/racism etc.,anger
269,So then it's my turn. Soon as he says hi I just burst into tears lmaoo I was so overwhelmed.,anger
270,@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,anger
271,"And getting offended or furious that a writers style isn;t to your taste is ultimately daft, I suppose.",anger
272,When u are strong u offend the weak &amp; insecure. STAY STRONG. Joshua 1:6-9 #god #internationaldayofpeace #actorslife,anger
273,@o2academybham since when the fuck can you not stand at a concert? #raging,anger
274,@o2academybham since when the fuck can you not stand at a concert? ,anger
275,My irritation level is at an all time high today 🙃,anger
276,@jagtron1 blacks are good at provoke them selfs blaming on white when black cops shooting blacks,anger
277,@Piggiewhopays lmao! I can only imagine the frown across that face of yours. #Hilarity,anger
278,#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!,anger
279,We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews,anger
280,@DatGuydARK I wouldn't fret. There's too many opportunities in life to worry about one not working out.,anger
281,@alour @jkramon1313 you should force your neighbours to pay that!  Those people have some nerve!!!  #outrage #Victim,anger
282,@clppng #offended the tonys have found a way to leave me out and now y'all have too,anger
283,Here's a tip for everyone: Stop being offended. End.  #quit #youredumb #liveyourownlife,anger
284,Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger
285,These NA kids are relentless,anger
286,Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part,anger
287,"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",anger
288,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the #tantrums.",anger
289,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the .",anger
290,Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting,anger
291,Me and these burns that I pick up off the pitches don't get on at all like 😢😢 ,anger
292,Imagine being bitter when your bias is dating &amp; sending threats to their partner. Like why? That's nasty. And they don't even know you exist,anger
293,Every dancers dream song #snap #worldpower,anger
294,Every dancers dream song  #worldpower,anger
295,@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.,anger
296,Having one of those #angry days. I will have to stop watching #news.,anger
297,@laureeenwillam can't cope wi her sour face and tiny pout 😡😡,anger
298,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #angry #unfair #ugh,anger
299,"@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite",anger
300,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha,anger
301,ICQ is just making me mad!!!😤 #icq #angry,anger
302,ICQ is just making me mad!!!😤 #icq ,anger
303,Ppl like that irritate my soul,anger
304,Why is it always me picking up the pieces :/ #angry,anger
305,Why is it always me picking up the pieces :/ ,anger
306,"I've learned to let go of resentment for people who have hurt me, because keeping it is like swallowing poison and expecting them to die.",anger
307,Pride and Prejudice is a modern day Keeping up with the Kardashians' - @howsyourdaybin .............I've never been so offended in my life,anger
308,The outrage over Kessel's tweet by butthurt USA players is hilarious.,anger
309,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming,anger
310,@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted ,anger
311,@missblair140 AWH tiff you're such a great friend I love you :(( thank you,anger
312,Oh man it's been so long since I've played #madden I am trash anymore.,anger
313,I only have to wave a fiery cross and we will f**kin' do this!,anger
314,"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere",anger
315,"@SwiftShimada SPARKLES, proud little huff. Still posing mind you.",anger
316,"No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.",anger
317,@thehill no wonder USA is going to shit with such outrage over a simple analogy.,anger
318,@fixindk @RevoltRazor @dragons1015 Guys don't use that type of language. Save it for raging...,anger
319,@Remedy0_ switch host no bullet rage.,anger
